label                            count min             max             sum             avg            
IRecordsPoolFactory.RecordsPool      1 0:00:00.002583  0:00:00.002583  0:00:00.002583  0:00:00.002583 
IRecordsPool.ReadChunk               7 0:00:00.0105138 0:00:00.0569522 0:00:00.2611484 0:00:00.0373069
IChunk.Sort                          6 0:00:00.0000051 0:00:00.0604713 0:00:00.2782549 0:00:00.0463758
IChunk.Write                         6 0:00:00.0012507 0:00:00.0509735 0:00:00.1542472 0:00:00.0257078
IChunksPool.CreateChunkFile          6 0:00:00.0135338 0:00:00.0684502 0:00:00.2348912 0:00:00.0391485
IChunksPool.MergeChunks              1 0:00:00.7885531 0:00:00.7885531 0:00:00.7885531 0:00:00.7885531
ISort.Execute                        1 0:00:01.7581448 0:00:01.7581448 0:00:01.7581448 0:00:01.7581448

# record have size
label                            count min             max             sum             avg            
IRecordsPoolFactory.RecordsPool      1 0:00:00.0026532 0:00:00.0026532 0:00:00.0026532 0:00:00.0026532
IRecordsPool.ReadChunk               7 0:00:00.0079817 0:00:00.0711254 0:00:00.2748786 0:00:00.0392683
IChunk.Sort                          6 0:00:00.0000062 0:00:00.0584984 0:00:00.2722415 0:00:00.0453735
IChunk.Write                         6 0:00:00.0000227 0:00:00.2943149 0:00:01.1924329 0:00:00.1987388
IChunksPool.CreateChunkFile          6 0:00:00.009473  0:00:00.3064059 0:00:01.2622087 0:00:00.2103681
IChunksPool.MergeChunks              1 0:00:02.0660035 0:00:02.0660035 0:00:02.0660035 0:00:02.0660035
ISort.Execute                        1 0:00:04.0651433 0:00:04.0651433 0:00:04.0651433 0:00:04.651433

# remove IsEOL()
label                            count min             max             sum             avg            
IRecordsPoolFactory.RecordsPool      1 0:00:00.0022515 0:00:00.0022515 0:00:00.0022515 0:00:00.0022515
IRecordsPool.ReadChunk               7 0:00:00.0101131 0:00:00.0660761 0:00:00.2807014 0:00:00.0401002
IChunk.Sort                          6 0:00:00.0000057 0:00:00.0936096 0:00:00.439552  0:00:00.0732586
IChunk.Write                         6 0:00:00.000029  0:00:00.448784  0:00:01.7531003 0:00:00.2921833
IChunksPool.CreateChunkFile          6 0:00:00.0123793 0:00:00.4667169 0:00:01.8325841 0:00:00.3054306
IChunksPool.MergeChunks              1 0:00:02.7299113 0:00:02.7299113 0:00:02.7299113 0:00:02.7299113
ISort.Execute                        1 0:00:05.4816992 0:00:05.4816992 0:00:05.4816992 0:00:05.4816992

# removed S()
label                            count min             max             sum             avg            
IRecordsPoolFactory.RecordsPool      1 0:00:00.002117  0:00:00.002117  0:00:00.002117  0:00:00.002117 
IRecordsPool.ReadChunk               7 0:00:00.008429  0:00:00.0588043 0:00:00.2659377 0:00:00.0379911
IChunk.Sort                          6 0:00:00.0000057 0:00:00.1176273 0:00:00.5426867 0:00:00.0904477
IChunk.Write                         6 0:00:00.0000201 0:00:00.4003181 0:00:01.6892848 0:00:00.2815474
IChunksPool.CreateChunkFile          6 0:00:00.0101662 0:00:00.4108223 0:00:01.7579276 0:00:00.2929879
IChunksPool.MergeChunks              1 0:00:02.8391504 0:00:02.8391504 0:00:02.8391504 0:00:02.8391504
ISort.Execute                        1 0:00:05.5870243 0:00:05.5870243 0:00:05.5870243 0:00:05.5870243

# initial
label                            count min             max             sum             avg            
IRecordsPoolFactory.RecordsPool      1 0:00:00.0022892 0:00:00.0022892 0:00:00.0022892 0:00:00.0022892
IRecordsPool.ReadChunk               7 0:00:00.0111231 0:00:00.0715974 0:00:00.2735283 0:00:00.0390754
IChunk.Sort                          6 0:00:00.0000067 0:00:00.1879629 0:00:00.8921574 0:00:00.1486929
IChunk.Write                         6 0:00:00.0000211 0:00:00.3981543 0:00:01.7429194 0:00:00.2904865
IChunksPool.CreateChunkFile          6 0:00:00.0112571 0:00:00.4081487 0:00:01.8133455 0:00:00.3022242
IChunksPool.MergeChunks              1 0:00:03.0826729 0:00:03.0826729 0:00:03.0826729 0:00:03.0826729
ISort.Execute                        1 0:00:06.2541709 0:00:06.2541709 0:00:06.2541709 0:00:06.2541709
